Symbol,Date,Time,Open,High,Low,Close
MNQ2022Z,06/12/2022,1948,11587.5,11587.75,11585.5,11585.75
MNQ2022Z,06/12/2022,1949,11585.25,11587.5,11584,11587.25
MNQ2022Z,06/12/2022,1950,11587.25,11591,11587,11591
MNQ2022Z,06/12/2022,1951,11590.5,11591.5,11588.75,11589.75
MNQ2022Z,06/12/2022,1952,11589.5,11590,11588,11588.75
MNQ2022Z,06/12/2022,1953,11588.75,11589.75,11588.25,11589.25
MNQ2022Z,06/12/2022,1954,11588.75,11592,11588.75,11591.75
MNQ2022Z,06/12/2022,1955,11591.5,11592.5,11590.25,11592
MNQ2022Z,06/12/2022,1956,11592,11593.75,11591.25,11593
MNQ2022Z,06/12/2022,1957,11592.75,11596,11592.75,11594.5
MNQ2022Z,06/12/2022,1958,11594.5,11595,11591.75,11592.25
MNQ2022Z,06/12/2022,1959,11592.5,11593.25,11590.25,11590.75
MNQ2022Z,06/12/2022,2000,11590.75,11591.25,11587.75,11588.5
MNQ2022Z,06/12/2022,2001,11588.75,11589.75,11587.75,11588.25
MNQ2022Z,06/12/2022,2002,11588,11589.75,11587.5,11589.75
MNQ2022Z,06/12/2022,2003,11590,11592,11589.75,11591.5
MNQ2022Z,06/12/2022,2004,11590.5,11592,11589.25,11591.75
MNQ2022Z,06/12/2022,2005,11592,11593.25,11591.75,11592.75
MNQ2022Z,06/12/2022,2006,11592.75,11595.5,11592.75,11595
MNQ2022Z,06/12/2022,2007,11594.5,11594.75,11592.5,11593.25
MNQ2022Z,06/12/2022,2008,11593.25,11593.5,11590.75,11591.5
MNQ2022Z,06/12/2022,2009,11591,11592,11589.25,11589.5
MNQ2022Z,06/12/2022,2010,11589,11591,11588.25,11589.25
MNQ2022Z,06/12/2022,2011,11589,11591,11589,11590
MNQ2022Z,06/12/2022,2012,11590,11590.75,11588.5,11590.5
MNQ2022Z,06/12/2022,2013,11590.5,11591,11589.25,11590
MNQ2022Z,06/12/2022,2014,11589.75,11590.75,11586.75,11587
MNQ2022Z,06/12/2022,2015,11587,11589.75,11587,11588.5
